"gene","mate","read_id","pair_id","n_hsps","qstart_union","qend_union","aa_covered_by_read","sstart_union","send_union","best_pident","best_evalue","best_bitscore"
"ATPF1G","R1","SRR7910035.17027790","SRR7910035.17027790",1,"1","84",84,"50","301",100,9.04e-53,174
"ATPF1G","R2","SRR7910035.17027790","SRR7910035.17027790",1,"50","149",100,"1","300",98,3.8e-66,208
"ATPF1A","R1","SRR7910035.17027841","SRR7910035.17027841",1,"6","105",100,"1","300",100,4.8e-36,136
"ATPF1A","R2","SRR7910035.17027841","SRR7910035.17027841",1,"1","90",90,"30","299",94.444,9.49e-25,105
"ATPF1B","R1","SRR7910035.17028751","SRR7910035.17028751",1,"193","251",59,"2","178",100,5.03e-33,126
"ATPF1B","R2","SRR7910035.17028751","SRR7910035.17028751",1,"193","251",59,"2","178",100,5.03e-33,126
"POLIB","R1","SRR7910035.17028890","SRR7910035.17028890",1,"475","574",100,"2","301",99,8.24e-62,212
"POLIB","R2","SRR7910035.17028890","SRR7910035.17028890",1,"440","537",98,"3","296",96.939,4.83e-60,207
"POLIB","R1","SRR7910035.17030360","SRR7910035.17030360",1,"1","58",58,"127","300",100,5.46e-31,124
"POLIB","R2","SRR7910035.17030360","SRR7910035.17030360",1,"12","109",98,"3","296",95.918,1.56e-55,194
"POLIB","R1","SRR7910035.17031011","SRR7910035.17031011",1,"541","640",100,"1","300",91,1.31e-52,186
"POLIB","R2","SRR7910035.17031011","SRR7910035.17031011",1,"494","591",98,"2","295",85.714,5.8e-51,181
"ATPF1B","R2","SRR7910035.17031066","SRR7910035.17031066",1,"1","72",72,"1","216",100,8.31e-39,143
"TAC102","R1","SRR7910035.17032515","SRR7910035.17032515",1,"543","641",99,"3","299",95.96,3.26e-54,189
"ATPF1A","R1","SRR7910035.17032774","SRR7910035.17032774",1,"462","560",99,"2","298",100,2.03e-64,212
"ATPF1A","R2","SRR7910035.17032774","SRR7910035.17032774",1,"442","540",99,"3","299",95.96,3.53e-59,198
"ATPF1B","R1","SRR7910035.17034195","SRR7910035.17034195",1,"1","73",73,"1","219",100,1.38e-39,145
"ATPF1A","R2","SRR7910035.17035926","SRR7910035.17035926",1,"1","95",95,"2","286",97.895,6.29e-32,125
"POLIB","R1","SRR7910035.17037011","SRR7910035.17037011",1,"705","803",99,"3","299",98.99,2.24e-59,205
"POLIB","R2","SRR7910035.17037011","SRR7910035.17037011",1,"627","725",99,"3","299",92.929,8.33e-56,195
"ATPF1G","R1","SRR7910035.17037567","SRR7910035.17037567",1,"161","260",100,"2","301",95,1.23e-59,191
"ATPF1G","R2","SRR7910035.17037567","SRR7910035.17037567",1,"246","305",60,"117","296",75,1.89e-18,85.1
"ATOM40","R1","SRR7910035.17041158","SRR7910035.17041158",1,"18","116",99,"3","299",100,3.55e-54,179
"ATPF1G","R1","SRR7910035.17044100","SRR7910035.17044100",1,"16","115",100,"2","301",98,3.3e-64,203
"POLIB","R1","SRR7910035.1704521","SRR7910035.1704521",1,"685","784",100,"1","300",100,7.93e-62,212
"POLIB","R2","SRR7910035.1704521","SRR7910035.1704521",1,"738","836",99,"2","298",96.97,5.68e-57,198
"POLIB","R2","SRR7910035.17046725","SRR7910035.17046725",1,"1102","1191",90,"14","289",46.739,5.55e-16,81.6
"ATPF1A","R1","SRR7910035.17047544","SRR7910035.17047544",1,"199","297",99,"3","299",100,2.65e-60,201
"ATPF1A","R2","SRR7910035.17047544","SRR7910035.17047544",1,"119","216",98,"3","296",94.898,6.88e-55,187
"POLIB","R1","SRR7910035.17051117","SRR7910035.17051117",1,"555","654",100,"1","300",100,9.58e-59,203
"POLIB","R2","SRR7910035.17051117","SRR7910035.17051117",1,"484","582",99,"3","299",97.98,9.31e-61,209
"TAC102","R1","SRR7910035.17051633","SRR7910035.17051633",1,"249","348",100,"1","300",99,1.49e-60,207
"TAC102","R2","SRR7910035.17051633","SRR7910035.17051633",1,"190","289",100,"1","300",98,5.29e-58,200
"ATPF1G","R1","SRR7910035.17051718","SRR7910035.17051718",1,"1","73",73,"81","299",95.89,3e-40,142
"ATPF1G","R2","SRR7910035.17051718","SRR7910035.17051718",1,"84","182",99,"5","301",91.919,3.27e-60,193
"TAC102","R2","SRR7910035.17054575","SRR7910035.17054575",1,"903","951",49,"3","149",97.959,9.23e-13,72
"ATPF1G","R2","SRR7910035.17054940","SRR7910035.17054940",1,"10","108",99,"3","299",97.98,1.27e-63,201
"ATPF1A","R1","SRR7910035.17055066","SRR7910035.17055066",1,"197","295",99,"3","299",98.99,2.36e-59,198
"ATPF1A","R2","SRR7910035.17055066","SRR7910035.17055066",1,"63","161",99,"1","297",93.939,2.33e-54,185
"ATPF1A","R1","SRR7910035.17056051","SRR7910035.17056051",1,"448","546",99,"2","298",95.96,1.08e-59,199
"ATPF1A","R1","SRR7910035.17056543","SRR7910035.17056543",1,"42","125",84,"48","299",100,2.53e-50,175
"ATPF1A","R2","SRR7910035.17056543","SRR7910035.17056543",1,"70","167",98,"2","295",86.735,2.04e-48,169
"ATPF1A","R1","SRR7910035.17057385","SRR7910035.17057385",1,"109","208",100,"1","300",100,3.41e-61,203
"ATPF1A","R2","SRR7910035.17057385","SRR7910035.17057385",1,"223","322",100,"1","300",96,4.54e-59,198
"POLIB","R2","SRR7910035.17057439","SRR7910035.17057439",1,"1267","1364",98,"1","294",41.837,5.67e-20,92.8
"TAC102","R1","SRR7910035.17059424","SRR7910035.17059424",1,"733","782",50,"1","150",98,7.98e-21,94.7
"TAC102","R2","SRR7910035.17059726","SRR7910035.17059726",1,"837","933",97,"2","292",88.66,9.07e-52,182
"ATPF1G","R1","SRR7910035.17061245","SRR7910035.17061245",1,"112","210",99,"2","298",97.98,2.42e-65,206
"ATPF1G","R2","SRR7910035.17061245","SRR7910035.17061245",1,"182","278",97,"1","291",96.907,2.12e-59,191
"ATPF1G","R1","SRR7910035.17061877","SRR7910035.17061877",1,"211","305",95,"1","285",100,2.84e-60,193
"ATPF1G","R2","SRR7910035.17061877","SRR7910035.17061877",1,"264","305",42,"176","301",83.333,1.32e-12,69.3
"POLIB","R1","SRR7910035.17073475","SRR7910035.17073475",1,"1281","1358",78,"64","297",39.744,1.24e-13,74.7
"TAC102","R1","SRR7910035.17075209","SRR7910035.17075209",1,"30","129",100,"1","300",96,7.86e-56,194
"TAC102","R2","SRR7910035.17075209","SRR7910035.17075209",1,"1","67",67,"101","301",83.582,2.77e-26,110
"POLIB","R2","SRR7910035.17075338","SRR7910035.17075338",1,"1086","1175",90,"1","276",51.087,1.92e-22,100
"ATPF1A","R1","SRR7910035.17077121","SRR7910035.17077121",1,"373","472",100,"2","301",96,9.78e-58,194
"ATPF1A","R2","SRR7910035.17077121","SRR7910035.17077121",1,"421","520",100,"2","301",82,1.98e-48,170
"ATPF1B","R1","SRR7910035.17077634","SRR7910035.17077634",1,"430","519",90,"30","299",100,1.42e-38,142
"ATPF1B","R2","SRR7910035.17077634","SRR7910035.17077634",1,"401","492",92,"2","277",100,7.32e-57,191
"POLIB","R1","SRR7910035.17077885","SRR7910035.17077885",1,"1235","1333",99,"1","297",98.99,2.01e-62,214
"ATOM40","R1","SRR7910035.17078621","SRR7910035.17078621",1,"18","117",100,"2","301",100,4.86e-55,181
"ATOM40","R2","SRR7910035.17078621","SRR7910035.17078621",1,"1","38",38,"186","299",94.737,1.41e-13,72.4
"TAC102","R1","SRR7910035.17079141","SRR7910035.17079141",1,"851","950",100,"2","301",100,2.6e-53,187
"TAC102","R2","SRR7910035.17079141","SRR7910035.17079141",1,"834","930",97,"3","293",92.784,4.34e-54,189
"POLIB","R1","SRR7910035.17079652","SRR7910035.17079652",1,"1135","1227",93,"3","284",36.17,7.83e-12,69.7
"ATPF1G","R2","SRR7910035.17080555","SRR7910035.17080555",1,"69","167",99,"3","299",90.909,9.62e-59,189
"POLIB","R1","SRR7910035.1708190","SRR7910035.1708190",1,"185","284",100,"1","300",100,2.41e-60,208
"POLIB","R2","SRR7910035.1708190","SRR7910035.1708190",1,"112","211",100,"1","300",94,1.3e-55,194
"ATPF1G","R1","SRR7910035.17082619","SRR7910035.17082619",1,"1","94",94,"2","283",100,5.81e-61,195
"ATPF1G","R2","SRR7910035.17082619","SRR7910035.17082619",1,"1","81",81,"46","288",96.296,1.08e-46,158
"POLIB","R2","SRR7910035.17083415","SRR7910035.17083415",1,"1090","1189",100,"2","298",41.176,4.41e-12,70.5
"POLIB","R1","SRR7910035.17084002","SRR7910035.17084002",1,"261","360",100,"2","301",100,2.28e-61,211
"POLIB","R2","SRR7910035.17084002","SRR7910035.17084002",1,"169","268",100,"2","301",93,1.13e-55,194
"POLIB","R2","SRR7910035.17085028","SRR7910035.17085028",1,"1086","1177",92,"18","299",53.191,5.94e-24,104
"ATPF1A","R1","SRR7910035.17085676","SRR7910035.17085676",1,"171","270",100,"1","300",100,2.06e-60,201
"ATPF1A","R2","SRR7910035.17085676","SRR7910035.17085676",1,"249","347",99,"3","299",90.909,3.59e-55,187
"POLIB","R1","SRR7910035.17085773","SRR7910035.17085773",1,"1086","1132",47,"158","298",70.213,1.85e-15,80.1
"POLIB","R2","SRR7910035.17085773","SRR7910035.17085773",1,"1086","1182",97,"3","299",53.535,3.95e-26,110
"POLIB","R2","SRR7910035.17085851","SRR7910035.17085851",1,"1267","1364",98,"7","300",37.755,1.96e-16,82.8
"TAC102","R1","SRR7910035.17086690","SRR7910035.17086690",1,"365","464",100,"2","301",100,6.25e-59,202
"TAC102","R2","SRR7910035.17086690","SRR7910035.17086690",1,"309","407",99,"3","299",97.98,5.45e-56,194
"TAC102","R1","SRR7910035.17086818","SRR7910035.17086818",1,"352","451",100,"2","301",100,1.19e-59,204
"TAC102","R2","SRR7910035.17086818","SRR7910035.17086818",1,"456","555",100,"1","300",80,1.51e-42,156
"ATPF1A","R1","SRR7910035.17087045","SRR7910035.17087045",1,"379","478",100,"2","301",100,2.68e-60,201
"ATPF1A","R2","SRR7910035.17087045","SRR7910035.17087045",1,"262","360",99,"3","299",95.96,3.52e-58,195
"ATPF1A","R1","SRR7910035.17087288","SRR7910035.17087288",1,"1","83",83,"52","300",100,4.86e-25,106
"ATPF1A","R2","SRR7910035.17087288","SRR7910035.17087288",1,"42","113",72,"3","218",100,8.31e-42,152
"TAC102","R1","SRR7910035.17087479","SRR7910035.17087479",1,"733","789",57,"14","184",98.246,1.25e-25,108
"TAC102","R2","SRR7910035.17087479","SRR7910035.17087479",1,"502","599",98,"3","296",88.776,1.87e-47,170
"POLIB","R2","SRR7910035.17089179","SRR7910035.17089179",1,"1086","1180",95,"7","297",53.608,7.5e-26,109
"POLIB","R1","SRR7910035.17091941","SRR7910035.17091941",1,"1338","1404",67,"1","201",100,2.2e-34,134
"POLIB","R1","SRR7910035.17092212","SRR7910035.17092212",1,"330","429",100,"1","300",97,5.03e-58,201
"POLIB","R2","SRR7910035.17092212","SRR7910035.17092212",1,"275","373",99,"3","299",86.869,2.19e-48,174
"POLIB","R1","SRR7910035.17093987","SRR7910035.17093987",1,"818","917",100,"1","300",100,2.53e-58,202
"POLIB","R2","SRR7910035.17093987","SRR7910035.17093987",1,"783","881",99,"2","298",100,1.04e-59,206
"TAC102","R1","SRR7910035.17095851","SRR7910035.17095851",1,"1","46",46,"3","140",95.652,3.06e-19,90.5
"POLIB","R1","SRR7910035.17095880","SRR7910035.17095880",1,"1115","1201",87,"3","266",46.591,4.38e-17,84.7
"ATPF1G","R1","SRR7910035.17096473","SRR7910035.17096473",1,"68","166",99,"3","299",98.99,1.61e-66,209
"ATPF1G","R2","SRR7910035.17096473","SRR7910035.17096473",1,"133","232",100,"2","301",98,1.68e-64,204
"POLIB","R1","SRR7910035.17097862","SRR7910035.17097862",1,"118","217",100,"1","300",100,9.17e-60,206
"POLIB","R2","SRR7910035.17097862","SRR7910035.17097862",1,"12","111",100,"1","300",97,1.01e-58,203
"POLIB","R1","SRR7910035.17102931","SRR7910035.17102931",1,"528","627",100,"1","300",100,3.43e-61,210
"POLIB","R2","SRR7910035.17102931","SRR7910035.17102931",1,"427","526",100,"1","300",97,7.67e-61,209
"POLIB","R1","SRR7910035.17104130","SRR7910035.17104130",1,"341","439",99,"2","298",97.98,1.44e-58,203
"POLIB","R2","SRR7910035.17104130","SRR7910035.17104130",1,"409","507",99,"3","299",97.98,5.18e-60,207
"ATPF1B","R1","SRR7910035.17105900","SRR7910035.17105900",1,"205","287",83,"2","250",100,3.67e-51,175
"ATPF1B","R2","SRR7910035.17105900","SRR7910035.17105900",1,"205","287",83,"3","251",98.795,8.46e-51,174
"ATOM40","R1","SRR7910035.17106079","SRR7910035.17106079",1,"1","39",39,"3","119",100,2.45e-16,80.1
"POLIB","R1","SRR7910035.17107051","SRR7910035.17107051",1,"1223","1321",99,"3","299",100,2.36e-62,214
"POLIB","R2","SRR7910035.17107051","SRR7910035.17107051",1,"1258","1356",99,"3","299",100,2.07e-61,211
"ATPF1A","R1","SRR7910035.17110941","SRR7910035.17110941",1,"203","301",99,"3","299",100,4.17e-61,203
"ATPF1A","R2","SRR7910035.17110941","SRR7910035.17110941",1,"134","233",100,"1","300",96,1e-56,192
"POLIB","R1","SRR7910035.17113939","SRR7910035.17113939",1,"279","377",99,"3","299",100,2.66e-61,211
"POLIB","R2","SRR7910035.17113939","SRR7910035.17113939",1,"200","298",99,"3","299",97.98,2.42e-59,205
"ATPF1A","R1","SRR7910035.17114047","SRR7910035.17114047",1,"537","584",48,"2","145",100,1.91e-24,104
"POLIB","R1","SRR7910035.17115552","SRR7910035.17115552",1,"1166","1259",94,"3","284",89.362,7.47e-49,175
"POLIB","R2","SRR7910035.17115552","SRR7910035.17115552",1,"1166","1256",91,"1","273",85.714,8.8e-46,166
"ATPF1A","R1","SRR7910035.17117541","SRR7910035.17117541",1,"98","196",99,"3","299",97.98,2.44e-59,198
"ATPF1A","R2","SRR7910035.17117541","SRR7910035.17117541",1,"130","226",97,"3","293",94.845,5.11e-54,184
"POLIB","R1","SRR7910035.17118241","SRR7910035.17118241",1,"250","348",99,"2","298",100,8.95e-61,209
"POLIB","R2","SRR7910035.17118241","SRR7910035.17118241",1,"161","259",99,"1","297",86.869,4.88e-49,176
"ATPF1A","R1","SRR7910035.17119572","SRR7910035.17119572",1,"42","127",86,"43","300",100,1.32e-51,178
"ATPF1A","R2","SRR7910035.17119572","SRR7910035.17119572",1,"42","132",91,"1","273",98.901,9.42e-55,186
"ATPF1G","R1","SRR7910035.17121808","SRR7910035.17121808",1,"46","144",99,"2","298",97.98,1.46e-65,206
"ATPF1G","R2","SRR7910035.17121808","SRR7910035.17121808",1,"1","80",80,"61","300",88.75,1.43e-40,142
"ATPF1A","R1","SRR7910035.17123561","SRR7910035.17123561",1,"42","113",72,"3","218",100,5.74e-42,152
"ATPF1B","R1","SRR7910035.17124064","SRR7910035.17124064",1,"448","519",72,"2","217",100,3.11e-25,106
"ATPF1A","R1","SRR7910035.17125574","SRR7910035.17125574",1,"90","189",100,"2","301",100,1.05e-60,202
"ATPF1A","R2","SRR7910035.17125574","SRR7910035.17125574",1,"64","162",99,"3","299",96.97,8.8e-58,194
"POLIB","R1","SRR7910035.17125937","SRR7910035.17125937",1,"1322","1404",83,"3","251",100,1.85e-46,168
"POLIB","R2","SRR7910035.17125937","SRR7910035.17125937",1,"1368","1404",37,"190","300",100,8.94e-13,72.4
"TAC102","R1","SRR7910035.17126621","SRR7910035.17126621",1,"1","51",51,"1","153",98.039,1.21e-23,102
"ATPF1A","R1","SRR7910035.17128538","SRR7910035.17128538",1,"4","103",100,"2","301",99,1.74e-35,135
"ATPF1A","R2","SRR7910035.17128538","SRR7910035.17128538",1,"66","165",100,"1","300",96,2.13e-57,193
"POLIB","R1","SRR7910035.17129246","SRR7910035.17129246",1,"555","654",100,"2","301",99,3.58e-58,202
"POLIB","R2","SRR7910035.17129246","SRR7910035.17129246",1,"597","695",99,"2","298",97.98,1.14e-58,203
"ATPF1A","R1","SRR7910035.17131135","SRR7910035.17131135",1,"260","358",99,"2","298",98.99,1.49e-61,204
"ATPF1A","R2","SRR7910035.17131135","SRR7910035.17131135",1,"278","376",99,"2","298",92.929,5.52e-55,187
"POLIB","R1","SRR7910035.17131512","SRR7910035.17131512",1,"1001","1073",73,"31","249",100,2.44e-40,150
"POLIB","R2","SRR7910035.17131512","SRR7910035.17131512",1,"1001","1073",73,"3","221",97.26,5.45e-38,143
"ATPF1A","R1","SRR7910035.17131852","SRR7910035.17131852",1,"530","584",55,"1","165",100,4.24e-30,120
"ATPF1A","R2","SRR7910035.1713500","SRR7910035.1713500",1,"529","584",56,"3","170",96.429,9.67e-29,116
"ATPF1G","R1","SRR7910035.17136540","SRR7910035.17136540",1,"1","97",97,"2","292",97.938,5.6e-62,197
"ATPF1B","R2","SRR7910035.17136802","SRR7910035.17136802",1,"423","519",97,"2","292",97.938,2e-42,152
"POLIB","R1","SRR7910035.17139991","SRR7910035.17139991",1,"486","567",82,"35","283",48.193,6.55e-16,81.3
"ATPF1A","R1","SRR7910035.17140106","SRR7910035.17140106",1,"524","584",61,"118","300",100,3.72e-34,131
"ATPF1A","R2","SRR7910035.17140106","SRR7910035.17140106",1,"431","528",98,"3","296",93.878,5.69e-56,189
"POLIB","R1","SRR7910035.17140523","SRR7910035.17140523",1,"1085","1180",96,"3","290",100,2.92e-58,202
"POLIB","R2","SRR7910035.17140523","SRR7910035.17140523",1,"933","1031",99,"3","299",98.99,1.55e-59,206
"ATPF1G","R1","SRR7910035.1714581","SRR7910035.1714581",1,"1","55",55,"136","300",100,5.28e-29,112
"ATPF1G","R2","SRR7910035.1714581","SRR7910035.1714581",1,"101","199",99,"3","299",97.98,3.92e-66,208
"ATPF1A","R2","SRR7910035.1714603","SRR7910035.1714603",1,"42","124",83,"2","250",98.795,4.19e-49,171
"TAC102","R1","SRR7910035.17146304","SRR7910035.17146304",1,"39","137",99,"3","299",100,1.08e-59,205
"TAC102","R2","SRR7910035.17146304","SRR7910035.17146304",1,"131","230",100,"2","301",100,5.39e-51,180
"ATPF1A","R1","SRR7910035.17149538","SRR7910035.17149538",1,"61","160",100,"1","300",100,1.02e-60,202
"ATPF1A","R2","SRR7910035.17149538","SRR7910035.17149538",1,"132","227",96,"3","290",93.75,4.48e-52,179
"ATPF1A","R1","SRR7910035.17152780","SRR7910035.17152780",1,"407","505",99,"2","298",100,3.95e-61,203
"ATPF1A","R2","SRR7910035.17152780","SRR7910035.17152780",1,"374","473",100,"1","300",94,1.87e-56,191
"ATPF1B","R1","SRR7910035.17152843","SRR7910035.17152843",1,"196","293",98,"3","296",100,3.59e-63,207
"ATPF1B","R2","SRR7910035.17152843","SRR7910035.17152843",1,"97","195",99,"3","299",98.99,1.19e-46,164
"ATPF1A","R1","SRR7910035.17153922","SRR7910035.17153922",1,"474","572",99,"3","299",100,9.24e-64,210
"ATPF1G","R2","SRR7910035.17154408","SRR7910035.17154408",1,"1","87",87,"3","263",67.816,4.24e-27,108
"ATPF1A","R1","SRR7910035.17163887","SRR7910035.17163887",1,"47","145",99,"2","298",100,1.66e-60,201
"ATPF1A","R2","SRR7910035.17163887","SRR7910035.17163887",1,"96","194",99,"3","299",94.949,8.93e-57,192
"TAC102","R1","SRR7910035.17165189","SRR7910035.17165189",1,"851","950",100,"2","301",100,2.6e-53,187
"TAC102","R2","SRR7910035.17165189","SRR7910035.17165189",1,"811","910",100,"1","300",97,5.89e-59,202
"POLIB","R1","SRR7910035.17167187","SRR7910035.17167187",1,"1086","1129",44,"166","297",72.727,1.18e-14,77.8
"POLIB","R2","SRR7910035.17167187","SRR7910035.17167187",1,"1086","1174",89,"3","275",51.648,4.35e-22,99
"ATPF1B","R2","SRR7910035.17168873","SRR7910035.17168873",1,"421","517",97,"3","293",86.598,6.38e-38,140
"POLIB","R1","SRR7910035.17172892","SRR7910035.17172892",1,"58","157",100,"1","300",99,4.26e-60,207
"POLIB","R2","SRR7910035.17172892","SRR7910035.17172892",1,"1","55",55,"137","301",98.182,1.24e-27,114
"ATPF1A","R1","SRR7910035.17173468","SRR7910035.17173468",1,"445","544",100,"1","300",98,8.03e-63,207
"ATPF1A","R2","SRR7910035.17173468","SRR7910035.17173468",1,"394","492",99,"3","299",71.717,2.26e-38,142
"ATPF1G","R2","SRR7910035.17174760","SRR7910035.17174760",1,"5","102",98,"6","299",52.041,8.11e-13,70.1
"TAC102","R1","SRR7910035.17175284","SRR7910035.17175284",1,"198","297",100,"1","300",75,6.92e-38,143
"TAC102","R2","SRR7910035.17175284","SRR7910035.17175284",1,"256","355",100,"1","300",88,4.79e-51,181
"POLIB","R1","SRR7910035.17176453","SRR7910035.17176453",1,"486","567",82,"24","272",46.988,1.51e-15,80.5
"POLIB","R1","SRR7910035.17176652","SRR7910035.17176652",1,"1056","1149",94,"12","296",51.579,2.25e-21,97.1
"POLIB","R2","SRR7910035.17176652","SRR7910035.17176652",1,"1086","1153",68,"18","221",58.824,1.26e-20,94.7
"ATPF1A","R2","SRR7910035.17179594","SRR7910035.17179594",1,"537","584",48,"2","145",97.917,3.06e-23,100
"ATPF1G","R1","SRR7910035.1718103","SRR7910035.1718103",1,"267","305",39,"183","299",87.179,7.79e-13,70.1
"ATPF1G","R2","SRR7910035.1718103","SRR7910035.1718103",1,"215","305",91,"2","274",93.407,2.48e-52,172
"ATPF1A","R1","SRR7910035.17181243","SRR7910035.17181243",1,"415","514",100,"1","300",100,1.55e-62,207
"ATPF1A","R2","SRR7910035.17181243","SRR7910035.17181243",1,"392","491",100,"1","300",95,1.01e-56,191
"POLIB","R1","SRR7910035.17181391","SRR7910035.17181391",1,"1280","1378",99,"3","299",100,2.69e-61,211
"POLIB","R2","SRR7910035.17181391","SRR7910035.17181391",1,"1215","1314",100,"2","301",99,4.43e-62,213
"TAC102","R1","SRR7910035.17182635","SRR7910035.17182635",1,"869","951",83,"3","251",98.795,3.79e-39,147
"ATOM40","R1","SRR7910035.17185048","SRR7910035.17185048",1,"166","265",100,"1","300",99,2.08e-65,207
"ATOM40","R2","SRR7910035.17185048","SRR7910035.17185048",1,"18","115",98,"3","296",89.796,1.27e-44,154
"ATOM40","R1","SRR7910035.17193424","SRR7910035.17193424",1,"263","351",89,"31","297",100,1.37e-56,185
"ATOM40","R2","SRR7910035.17193424","SRR7910035.17193424",1,"136","235",100,"1","300",96,1.13e-62,201
"ATPF1A","R1","SRR7910035.17194549","SRR7910035.17194549",1,"381","479",99,"3","299",100,9.72e-60,199
"ATPF1A","R2","SRR7910035.17194549","SRR7910035.17194549",1,"462","559",98,"3","296",93.878,5.03e-58,195
"ATPF1B","R1","SRR7910035.17196105","SRR7910035.17196105",1,"111","210",100,"2","301",99,6.83e-48,167
"ATPF1B","R2","SRR7910035.17196105","SRR7910035.17196105",1,"154","252",99,"2","298",90.909,8.15e-43,154
"POLIB","R1","SRR7910035.17196983","SRR7910035.17196983",1,"140","238",99,"2","298",98.99,1.19e-59,206
"POLIB","R2","SRR7910035.17196983","SRR7910035.17196983",1,"82","177",96,"3","290",91.667,4.68e-53,187
"ATOM40","R2","SRR7910035.17203282","SRR7910035.17203282",1,"1","45",45,"3","137",100,1.4e-20,91.7
"POLIB","R2","SRR7910035.17205467","SRR7910035.17205467",1,"1099","1195",97,"2","298",52.525,1.18e-24,106
"ATPF1B","R1","SRR7910035.17205937","SRR7910035.17205937",1,"311","409",99,"3","299",100,1.21e-61,203
"ATPF1B","R2","SRR7910035.17205937","SRR7910035.17205937",1,"356","454",99,"3","299",96.97,2.12e-58,194
"ATPF1B","R2","SRR7910035.1721006","SRR7910035.1721006",1,"20","118",99,"2","298",86.869,5.31e-48,167
"ATPF1A","R1","SRR7910035.17210323","SRR7910035.17210323",1,"42","129",88,"36","299",100,2.13e-53,183
"ATPF1A","R2","SRR7910035.17210323","SRR7910035.17210323",1,"121","219",99,"3","299",92.929,6.71e-54,184
"ATPF1A","R1","SRR7910035.17215188","SRR7910035.17215188",1,"413","510",98,"3","296",96.939,1.37e-57,194
"ATPF1A","R2","SRR7910035.17215188","SRR7910035.17215188",1,"294","392",99,"3","299",92.929,1.75e-55,188
"POLIB","R2","SRR7910035.17215479","SRR7910035.17215479",1,"1312","1404",93,"3","281",93.548,1.79e-48,174
"TAC102","R1","SRR7910035.17216393","SRR7910035.17216393",1,"1","59",59,"124","300",98.305,2.18e-30,122
"TAC102","R2","SRR7910035.17216393","SRR7910035.17216393",1,"28","127",100,"2","301",95,5.89e-55,191
"ATPF1A","R1","SRR7910035.17218043","SRR7910035.17218043",1,"42","119",78,"65","298",100,2.84e-46,164
"ATPF1A","R2","SRR7910035.17218043","SRR7910035.17218043",1,"96","195",100,"1","300",98,1.7e-59,199
"ATPF1G","R1","SRR7910035.17218658","SRR7910035.17218658",1,"232","305",74,"79","300",100,3.59e-43,149
"ATPF1G","R2","SRR7910035.17218658","SRR7910035.17218658",1,"204","302",99,"2","298",96.97,1.18e-59,191
"ATPF1A","R1","SRR7910035.17219963","SRR7910035.17219963",1,"240","339",100,"2","301",99,2.64e-63,209
"ATPF1A","R2","SRR7910035.17219963","SRR7910035.17219963",1,"279","377",99,"1","297",88.889,4.97e-51,176
"TAC102","R1","SRR7910035.17220030","SRR7910035.17220030",1,"196","294",99,"3","299",98.99,1.71e-58,201
"TAC102","R2","SRR7910035.17220030","SRR7910035.17220030",1,"283","382",100,"2","301",97,9.8e-59,202
"POLIB","R2","SRR7910035.17223808","SRR7910035.17223808",1,"8","107",100,"2","301",85,2.47e-48,174
"POLIB","R1","SRR7910035.17223938","SRR7910035.17223938",1,"1086","1167",82,"58","297",48.193,5.4e-15,79
"POLIB","R2","SRR7910035.17223938","SRR7910035.17223938",1,"1135","1226",92,"23","301",36.559,1.39e-11,68.9
"ATPF1A","R1","SRR7910035.17224524","SRR7910035.17224524",1,"212","310",99,"3","299",100,4.15e-62,206
"ATPF1A","R2","SRR7910035.17224524","SRR7910035.17224524",1,"136","235",100,"1","300",97,4.93e-58,195
"ATOM40","R1","SRR7910035.17225098","SRR7910035.17225098",1,"1","72",72,"80","295",100,7.37e-42,147
"ATOM40","R2","SRR7910035.17225098","SRR7910035.17225098",1,"105","203",99,"3","299",78.788,2.39e-46,159
"ATPF1A","R1","SRR7910035.17226667","SRR7910035.17226667",1,"514","584",71,"89","301",100,2.23e-42,153
"ATPF1A","R2","SRR7910035.17226667","SRR7910035.17226667",1,"432","531",100,"2","301",97,2.12e-61,204
"ATPF1A","R1","SRR7910035.17228202","SRR7910035.17228202",1,"549","584",36,"3","110",100,1.15e-15,79.7
"ATPF1A","R2","SRR7910035.17228202","SRR7910035.17228202",1,"1","70",70,"2","211",100,6.75e-15,77.4
"ATPF1A","R1","SRR7910035.1722849","SRR7910035.1722849",1,"288","387",100,"2","301",98,1.88e-61,204
"ATPF1A","R2","SRR7910035.1722849","SRR7910035.1722849",1,"175","273",99,"1","297",93.939,2.03e-54,186
"POLIB","R1","SRR7910035.17229524","SRR7910035.17229524",1,"1086","1154",69,"4","204",54.286,1.48e-13,74.7
"TAC102","R2","SRR7910035.17231508","SRR7910035.17231508",1,"734","789",56,"51","218",96.429,2.66e-24,104
"POLIB","R1","SRR7910035.17232782","SRR7910035.17232782",1,"1240","1316",77,"6","227",41.558,2.35e-11,68.6
"TAC102","R1","SRR7910035.17236270","SRR7910035.17236270",1,"210","309",100,"1","300",99,2.2e-60,207
"TAC102","R2","SRR7910035.17236270","SRR7910035.17236270",1,"164","263",100,"2","301",83,1.26e-37,142
"POLIB","R1","SRR7910035.17237488","SRR7910035.17237488",1,"464","542",79,"9","254",45.122,4.63e-12,70.5
"ATOM40","R1","SRR7910035.17239463","SRR7910035.17239463",1,"1","86",86,"3","260",100,9.78e-44,152
